Header Level,Header Text,Content
h4,Sep-24,
h4,Sep-24,
h4,Aug-24,
h4,Aug-24,
h5,Course Duration,
h5,Sem - 1,
h5,Sem - 2,
h5,Sem - 3,
h5,Sem - 4,
h5,PEO-1,"Have successful careers in construction industry, government, academia and military."
h5,PEO-2,"Successfully solve engineering problems associated with the lifecycle of Civil Engineering system, in particular structural engineering by communicating effectively either leading a team or as a team member."
h5,PEO-3,"Continue to learn and advance their careers through activities such as research and development, acquiring doctoral degree, participation in national level research programmes, teaching and research at university level etc."
h5,PO 1,"Demonstrate in-depth knowledge of computer aided structural Engineering, including wider and global perspective, with an ability to discriminate, evaluate, analyze and synthesize existing and new knowledge, and integration of the same for enhancement of knowledge."
h5,PO 2,"Analyze complex engineering problems critically, apply independent judgment for synthesizing information to make intellectual and/or creative advances for conducting research in structural engineering, wider theoretical, practical and policy context."
h5,PO 3,"Think laterally and originally, conceptualize and solve structural engineering problems, evaluate a wide range of potential solutions for those problems and arrive at feasible, optimal solutions after considering public health and safety, cultural, societal and environmental factors in computer aided structural Engineering."
h5,PO 4,"Extract information pertinent to unfamiliar problems through literature survey and experiments, apply appropriate research methodologies, techniques and tools, design, conduct experiments, analyze and interpret data, demonstrate higher order skill and view things in a broader perspective, contribute individually/in group(s) to the development of scientific/technological knowledge in computer aided structural Engineering."
h5,PO 5,"Create, select, learn and apply appropriate techniques, resources, and structural engineering and IT tools, including prediction and modeling, to complex engineering activities with an understanding of the limitations."
h5,PO 6,"Possess knowledge and understanding of group dynamics, recognize opportunities and contribute positively to collaborative-multidisciplinary scientific research, demonstrate a capacity for self-management and teamwork, decision-making based on open-mindedness, objectivity and rational analysis in order to achieve common goals and further the learning of themselves as well as others."
h5,PO 7,"Demonstrate knowledge and understanding of structural Engineering principles and apply the same to one’s own work, as a member and leader in a team, manage projects efficiently in respective disciplines and multidisciplinary environments after consideration of economical and financial factors."
h5,PO 8,"Communicate with the engineering community, and with society at large, regarding complex Structural engineering activities confidently and effectively, such as, being able to comprehend and write effective reports and design documentation by adhering to appropriate standards, make effective presentations, and give and receive clear instructions."
h5,PO 9,"Recognize the need for, and have the preparation and ability to engage in life-long learning independently, with a high level of enthusiasm and commitment to improve knowledge and competence continuously."
h5,PO 10,"Acquire professional and intellectual integrity, professional code of conduct, ethics of research and scholarship, consideration of the impact of research outcomes on professional practices and an understanding of responsibility to contribute to the community for sustainable development of society."
h5,Fee,
h1,B.Tech. in Mechatronics Engineering(B.Tech.),
h2,Browse by Faculty,
h2,Admission Helplines,
h2,Why REVA,
h2,Login,
h2,Membership,
h2,Internationalization,
h2,Careers,
h2,Alumni,
h2,Contact,
h2,Entrepreneurship,
h2,Happenings,
h2,University E-Resources,
h2,Others,
h2,Faculty Profile,
h2,Grievance Redressal,
h2,Anti Ragging,
h2,Why REVA,
h2,Careers,
h2,Happenings,
h2,Contact,
h2,Alumni,
h2,Library E-Resources,
h2,Login,
h2,Other,
h2,Notifications,
h3,8 Semesters(4 Years),
h3,,
h3,Overview,
h3,Course Curriculum,
h3,Programme Educational Objectives (PEOs),"After few years of graduation, the graduates of B.Tech. Mechatronics Engineering will:"
h3,Programme Outcomes (POs),
h3,Programme Handbooks,
h3,Programme Specific Outcomes,"On successful completion of the program, the graduates of B.Tech. Mechatronics Engineering will be able to:"
h3,Career Opportunities,"After the completion of the programme, students have extensive range of opportunities to assist in different industries such as"
h3,Follow Us,
h3,Follow Us,
h3,05 /,
h3,25 /,
h3,24 /,
h3,09 /,
h3,04 /,
h3,03 /,
h3,27 /,
h3,26 /,
h3,27 /,
h3,26 /,
h4,Eligibility Criteria,"Pass in PUC / 10+2 examination with Physics, Chemistry and Mathematics as compulsory subjects and obtained at least 45% marks (40% in case of candidate belonging to SC/ST category) in the above subjects taken together, of any Board recognized by the respective State Governments / Central Government / Union Territories or any other qualification recognized as equivalent thereto.Course Duration: 4 years (8 semesters)"
h4,REVA University,"Rukmini Knowledge Park, Kattigenahalli, Yelahanka, Bangalore, Karnataka, India, 560 064 © RECT All Rights ReservedWebsite Design and Developmentby Sterco Digitex"
h4,Dec-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Sep-24,
h4,Sep-24,
h4,Aug-24,
h4,Aug-24,
h5,Course Duration,
h5,Sem - 1,
h5,Sem - 2,
h5,Sem - 3,
h5,Sem - 4,
h5,Sem - 5,
h5,Sem - 6,
h5,Sem - 7,
h5,Sem - 8,
h5,PEO-1,"Inculcate knowledge of basic engineering sciences and fundamentals of mechanical, electronics and computer systems."
h5,PEO-2,"Be able to design, develop product and applications in the field of mechatronics & automation and be able to use engineering tools that will enhance their productivity."
h5,PEO-3,Exhibit professional and managerial capabilities with ethical conduct and have motivation to practice life-long learning in a team work environment.
h5,PEO-4,Create awareness of societal and the environmental implications and make them suitable for engineering career in industrial environs as well as for pursuing higher studies.
h5,PO 1,"Engineering Knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, to solve problems in mechatronics engineering."
h5,PO 2,"Problem Analysis: Identify, formulate, review research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences and engineering sciences."
h5,PO 3,"Design/Development of Solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for the public health and safety, and the cultural, societal, and environmental considerations."
h5,PO 4,"Conduct Investigations of Complex Problems: Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions for complex problems."
h5,PO 5,"Modern Tool Usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools including prediction and modelling to complex engineering activities with an understanding of the limitations."
h5,PO 6,"The Engineer and Society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal and cultural issues and the consequent responsibilities relevant to the professional engineering practice."
h5,PO 7,"Environment and Sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development."
h5,PO 8,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.
h5,PO 9,"Individual and Teamwork: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings."
h5,PO 10,"Communication: Communicate effectively on complex engineering activities with the engineering community and with society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions."
h5,PO 11,"Project Management and Finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to one's own work, as a member and leader in a team, to manage projects and in multidisciplinary environments."
h5,PO 12,Life-long Learning: Recognize the need for and have the preparation and ability to engage in independent and lifelong learning in the broadest context of technological change.
h1,B.Sc. in Medical Radiology and Diagnostic imaging,
h2,Browse by Faculty,
h2,Admission Helplines,
h2,Why REVA,
h2,Login,
h2,Membership,
h2,Internationalization,
h2,Careers,
h2,Alumni,
h2,Contact,
h2,Entrepreneurship,
h2,Happenings,
h2,University E-Resources,
h2,Others,
h2,Faculty Profile,
h2,Grievance Redressal,
h2,Anti Ragging,
h2,Why REVA,
h2,Careers,
h2,Happenings,
h2,Contact,
h2,Alumni,
h2,Library E-Resources,
h2,Login,
h2,Other,
h2,Notifications,
h3,8 Semesters(4Years),
h3,,
h3,Overview,
h3,Course Curriculum,
h3,Programme Educational Objectives (PEOs),The programme educational objectives of the School of Allied Health Sciences of REVA University is to prepare graduates to:
h3,Programme Outcomes (POs),
h3,Programme Handbooks,
h3,Programme Specific Outcomes,"After successful completion of the programme, the graduates shall be able to"
h3,Career Opportunities,
h3,Follow Us,
h3,Follow Us,
h3,05 /,
h3,25 /,
h3,24 /,
h3,09 /,
h3,04 /,
h3,03 /,
h3,27 /,
h3,26 /,
h3,27 /,
h3,26 /,
h4,Eligibility Criteria,Students must have cleared their PUC with PCMB subjects with minimum aggregate score of 45% (40% in case of Candidates belonging to SC/ST) from any Recognized Board/Council or any other equivalent qualification from Recognized board.
h4,REVA University,"Rukmini Knowledge Park, Kattigenahalli, Yelahanka, Bangalore, Karnataka, India, 560 064 © RECT All Rights ReservedWebsite Design and Developmentby Sterco Digitex"
h4,Dec-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Sep-24,
h4,Sep-24,
h4,Aug-24,
h4,Aug-24,
h5,Course Duration,
h5,Sem - 1,
h5,Sem - 2,
h5,Sem - 3,
h5,Sem - 4,
h5,Sem - 5,
h5,Sem - 6,
h5,PEO-1,Demonstrate the knowledge of medical radiology and diagnostic imaging. procedures by communicating effectively with the patient or either leading a team or as a team member in a clinical facility.
h5,PEO-2,"Express oral and written interpersonal skills as part of the health care teams requirements to understand, learn and advance their careers through clinical care developments and seeking higher knowledge."
h5,PEO-3,"Understand the professional, ethical and social responsibilities through lifelong learning skills."
h5,PEO-4,Acquire higher degree of work in academics and research.
h5,PO 1Knowledge& Skills :,Apply the knowledge of radiological sciences and imaging techniques for the solutions to the problems in various diagnostic domains particularly for Health Care industries/Hospitals.
h5,PO 2Problem analysis:,Identify and analyze problems related to various medical imaging domains of clinically relevant procedure of the patients and quality of the images.
h5,PO 3Conduct investigations of relevant problems:,"Comprehend, analyze and solve complex problems in the areas of Medical Radiology and Diagnostic Imaging."
h5,PO 4Modern technique Usage:,Use latest technique and tools to carry out scientific investigations and develop new Medical Radiology & Diagnostic imaging solutions to solve problems
h5,PO 5Practice and Risk Management:,Professional conduct in the hospital to minimize cross infection by following rules/regulations and standard control mechanism and incorporating latest advances in the medical field.
h5,PO 6Individual and team work:,Recognize the need to expertise in the areas of medical radiology and diagnostic imaging by self-up gradation through lifelong learning.
h5,PO 7Communication:,"Communicate with clarity and coherence, both written and verbally to the patients and all healthcare workers."
h5,PO 8Ethics &Radiation Protection:,Exhibit professional responsibility and safety standards in conducting standardized radiological procedures within the realm of ethical guidelines and radiation safety boards.
h5,PO 9Project management & Evidence based practice:,"Encourage collaborative learning without any discriminations and analyze the impact of radio diagnostic practices in global, economic, environmental and societal context."
h5,PO 10Lifelong learning:,Promote regular training and follow Quality protocols for the development of professionalism throughout the life.
h5,Fee,
h2,Browse by Faculty,
h2,Admission Helplines,
h2,IQAC,
h2,Why REVA,
h2,Login,
h2,Membership,
h2,Internationalization,
h2,Careers,
h2,Alumni,
h2,Contact,
h2,Entrepreneurship,
h2,Happenings,
h2,University E-Resources,
h2,Others,
h2,Faculty Profile,
h2,Grievance Redressal,
h2,Anti Ragging,
h2,Why REVA,
h2,Careers,
h2,Happenings,
h2,Contact,
h2,Alumni,
h2,Library E-Resources,
h2,Login,
h2,Other,
h2,Notifications,
h3,Follow Us,
h3,Follow Us,
h3,05 /,
h3,25 /,
h3,24 /,
h3,09 /,
h3,04 /,
h3,03 /,
h3,27 /,
h3,26 /,
h3,27 /,
h3,26 /,
h4,REVA University,"Rukmini Knowledge Park, Kattigenahalli, Yelahanka, Bangalore, Karnataka, India, 560 064 © RECT All Rights ReservedWebsite Design and Developmentby Sterco Digitex"
h4,Dec-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Sep-24,
h4,Sep-24,
h4,Aug-24,
h4,Aug-24,
h1,All Programmes,
h2,Browse by Faculty,
h2,Admission Helplines,
h2,Undergraduate Programmes,
h2,B.Tech. in Computer Science and Engineering,
h2,B.Tech. in Computer Science and Information Technology,
h2,B.Tech. in Artificial Intelligence and Data Science,
h2,B.Tech. in Computer Science and Systems Engineering,
h2,B.Tech. in Information Science and Engineering,
h2,B.Tech in Computer Science and Engineering (Internet of Things and Cyber Security including Block Chain Technology),
h2,B.Tech. Computer Science and Engineering (Artificial Intelligence and Machine Learning),
h2,B.Tech. in Civil Engineering,
h2,B.Tech. in Electronics and Communication Engineering,
h2,B.Tech. in Electronics and Computer Engineering,
h2,B.Tech Agricultural Engineering,
h2,B.Tech. in Mechanical Engineering,
h2,B.Tech. in Mechatronics Engineering,
h2,B.Tech in Aerospace Engineering,
h2,B.Tech. in Electrical and Electronics Engineering,
h2,Bachelor of Architecture,
h2,B.Sc Interior Design,
h2,"Bachelor of Arts and Bachelor of Law (B.A., LL.B.)",
h2,"Bachelor of Business Administration and Bachelor of Law (B.B.A., LL.B.)",
h2,B.Com.,
h2,Bachelor of Computer Applications (BCA),
h2,Bachelor of Science in Computer Science with specialization in Cloud computing and Big Data,
h2,Bachelor of Science in Computer Science with specialization in Multimedia and Animation,
h2,"B.Sc. (Biochemistry, Microbiology, Medical Laboratory Technology)",
h2,Bachelor of Science in Computer Science with specialization in Cyber Security,
h2,"B.Sc. in Biotechnology, Biochemistry, Genetics",
h2,"B.Sc. in Bioinformatics, Statistics, Computer Science (BStCs)",
h2,"B.Sc. in Microbiology, Chemistry, Genetics",
h2,B.Sc. in Medical Radiology and Diagnostic imaging,
h2,B.Sc. in Nutrition and Dietetics,
h2,B.Sc. (Hons.) Sports and Exercise Science,
h2,Bachelor of Physiotherapy,
h2,"BA in Journalism, English and Psychology",
h2,"BA in Political Science, Economics and Journalism",
h2,B.A. -  Journalism Mass Communication,
h2,Bachelor of Business Administration  (With Specializations),
h2,B.Sc. in Psychology (Honors & Research),
h2,B.A. - Journalism Mass Communication,
h2,"B.A. –Political Science, Economics and Journalism (BAPEJ)",
h2,B. Tech Robotics and Artificial Intelligence (2024-25),
h2,Postgraduate Programmes,
h2,M.Tech in Artificial Intelligence (AI),
h2,M.Tech in Cyber Security,
h2,M.Tech in Computer Science and Engineering (Full Time),
h2,M.Tech in Computer Science and Engineering (PART TIME),
h2,M.Tech in VLSI and Embedded Systems (Full Time),
h2,M.Tech in VLSI and Embedded Systems (Part Time),
h2,M.Tech. Digital Communication and Networking,
h2,M.Tech in Computer Aided Structural Engineering,
h2,M.Tech in Transportation Engineering and Management,
h2,M.Tech in Construction Technology and Management,
h2,M.Tech in Power and Energy Systems [Full Time],
h2,LL.M (Business and Corporate Law),
h2,M.Tech in Machine Design,
h2,LL.M (Criminal Law),
h2,Master of Commerce (M.Com.),
h2,Master of Business Administration (MBA),
h2,Master of Computer Applications (MCA),
h2,Master of Science in Data Science,
h2,M.Sc. in Biotechnology,
h2,M.Sc. in Chemistry,
h2,M.Sc. in Mathematics,
h2,M.Sc. in Physics,
h2,M.Sc. in Microbial Technology,
h2,M.Sc. in Bioinformatics,
h2,M.Sc. in Biochemistry,
h2,M.A in English,
h2,MA in Journalism and Communication,
h2,M.Sc in Psychology,
h2,Masters in Environmental Architecture,
h2,M.Sc. Clinical Embryology and Assisted Reproductive Technology,
h2,M.Sc. Clinical Psychology,
h2,M.Sc. Applied Psychology,
h2,M.A in English,
h2,M.A. in Journalism and Mass Communication with specialization in Digital Media and Film Making,
h2,M.A. in Journalism and Mass Communication with specialization in Advertising and Corporate Communication,
h2,Doctoral Programmes,
h2,Ph.D. in Computer Science and Engineering,
h2,Ph.D. in Civil Engineering,
h2,Ph.D (Computer Science and Applications),
h2,Ph.D. in Electronics and Communication Engineering,
h2,Ph.D. in Electrical and Electronics Engineering,
h2,Ph.D. in Mechanical Engineering,
h2,Ph.D. in Legal Studies,
h2,Ph.D. in Management,
h2,Ph.D. in Physics,
h2,Ph.D. in Chemistry,
h2,Ph.D. in Mathematics,
h2,Ph.D. in Biochemistry,
h2,Ph.D. in Biotechnology,
h2,Ph.D. in Microbiology,
h2,Ph.D. in English,
h2,Ph.D. in Commerce,
h2,Ph. D in Psychology,
h2,Ph.D. in English,
h2,Ph.D. in Journalism and Mass Communication,
h2,Diploma Programmes,
h2,Post Graduate Diploma in Clinical Embryology & Assisted Reproductive Technology - (PGD-CEART),
h2,Diploma In Kathak Classical  Dance  (Online/Offline),
h2,Diploma In Kuchipudi Classical Dance  (Online/Offline),
h2,PG Diploma in Artificial Intelligence and Machine Learning,
h2,Diploma In  Bharatanatyam  Classical  Dance  (Online/Offline),
h2,Diploma In Mohiniyattam  Classical  Dance  (Online/Offline),
h2,Diploma In  Hindustani  Classical  Music  (Online/Offline),
h2,Diploma In Carnatic Classical Music  (Online/Offline),
h2,Diploma In Indology,
h2,Diploma In Tabla  (Online/Offline),
h2,Diploma In Yakshagana  (Online/Offline),
h2,Diploma In Film Making,
h2,Certification Programmes,
h2,Why REVA,
h2,Login,
h2,Membership,
h2,Internationalization,
h2,Careers,
h2,Alumni,
h2,Contact,
h2,Entrepreneurship,
h2,Happenings,
h2,University E-Resources,
h2,Others,
h2,Faculty Profile,
h2,Grievance Redressal,
h2,Anti Ragging,
h2,Why REVA,
h2,Careers,
h2,Happenings,
h2,Contact,
h2,Alumni,
h2,Library E-Resources,
h2,Login,
h2,Other,
h2,Notifications,
h3,Follow Us,
h3,Follow Us,
h3,05 /,
h3,25 /,
h3,24 /,
h3,09 /,
h3,04 /,
h3,03 /,
h3,27 /,
h3,26 /,
h3,27 /,
h3,26 /,
h4,REVA University,"Rukmini Knowledge Park, Kattigenahalli, Yelahanka, Bangalore, Karnataka, India, 560 064 © RECT All Rights ReservedWebsite Design and Developmentby Sterco Digitex"
h4,Dec-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Sep-24,
h4,Sep-24,
h4,Aug-24,
h4,Aug-24,
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,8 Semester (4 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,8 Semester (4 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,8 Semester (4 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,10 Semesters (5 Years)
h5,Course Duration,10 Semesters (5 Years)
h5,Course Duration,10 Semesters (5 Years)
h5,Course Duration,6 Semesters (3 Years)
h5,Course Duration,6 Semesters (3 Years)
h5,Course Duration,6 Semesters (3 Years)
h5,Course Duration,6 Semesters (3 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,6 Semesters (3 Years)
h5,Course Duration,6 Semesters (3 Years)
h5,Course Duration,6 Semesters (3 Years)
h5,Course Duration,6 Semesters (3 Years)
h5,Course Duration,8 Semesters (4Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,6 Semesters ( 3 Years)
h5,Course Duration,6 Semesters ( 3 Years)
h5,Course Duration,6 Semesters (3 years)
h5,Course Duration,6 Semesters (3 Years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,6 Semesters (3 years)
h5,Course Duration,6 Semesters (3 years)
h5,Course Duration,8 Semesters (4 Years)
h5,Course Duration,4 Semesters (2  Years)
h5,Course Duration,4 Semesters (2  Years)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,6 Semesters (3 Years)
h5,Course Duration,4 Semesters (2  Years)
h5,Course Duration,6 Semesters (3 Years)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,4 Semesters  (2  Years)
h5,Course Duration,4 Semesters (2  Years)
h5,Course Duration,4 Semesters (2  Years)
h5,Course Duration,4 Semesters (2  Years)
h5,Course Duration,2 Semesters (1 Year)
h5,Course Duration,4 Semesters (2  Years)
h5,Course Duration,2 Semesters (1  Year)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,4 Semesters (2  Years)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,2 years (4 Semesters)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,2 Years (4 Semesters)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,4 Semesters (2 Years)
h5,Course Duration,4 Semesters
h5,Course Duration,4 Semesters (2 years)
h5,Course Duration,4 Semesters (2 years)
h5,Course Duration,4 Semesters (2 years)
h5,Course Duration,4 Semesters (2 years)
h5,Course Duration,2 semesters
h5,Course Duration,2 Semesters (1 Year)
h5,Course Duration,2 Semesters (1 Year)
h5,Course Duration,2 Semesters (1 Year)
h5,Course Duration,2 Semesters (1 Year)
h5,Course Duration,2 Semesters (1 Year)
h5,Course Duration,2 Semesters (1 Year)
h5,Course Duration,2 Semesters (1 Year)
h5,Course Duration,1 Year
h5,Course Duration,2 Semesters (1 Year)
h5,Course Duration,2 Semesters (1 Year)
h5,Course Duration,2 Semesters (1 Year)
h2,Browse by Faculty,
h2,Admission Helplines,
h2,Student Affairs,
h2,Vision,"The Office of Student Affairs office aims to empower and elevate students' experiences, by encouraging co-curricular involvement within and outside the University, fostering a sense of community and belonging, and promoting their overall health while they succeed academically."
h2,Mission,The Office of Student Affairs is dedicated to the overall growth of students and offers services and activities that enable them to reach their academic and personal objectives.
h2,Events,
h2,Why REVA,
h2,Login,
h2,Membership,
h2,Internationalization,
h2,Careers,
h2,Alumni,
h2,Contact,
h2,Entrepreneurship,
h2,Happenings,
h2,University E-Resources,
h2,Others,
h2,Faculty Profile,
h2,Grievance Redressal,
h2,Anti Ragging,
h2,Why REVA,
h2,Careers,
h2,Happenings,
h2,Contact,
h2,Alumni,
h2,Library E-Resources,
h2,Login,
h2,Other,
h2,Notifications,
h3,Office of Student Affairs,
h3,Objective,
h3,Follow Us,
h3,Follow Us,
h3,05 /,
h3,25 /,
h3,24 /,
h3,09 /,
h3,04 /,
h3,03 /,
h3,27 /,
h3,26 /,
h3,27 /,
h3,26 /,
h4,REVA University,"Rukmini Knowledge Park, Kattigenahalli, Yelahanka, Bangalore, Karnataka, India, 560 064 © RECT All Rights ReservedWebsite Design and Developmentby Sterco Digitex"
h4,Dec-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Oct-24,
h4,Sep-24,
h4,Sep-24,
h4,Aug-24,
h4,Aug-24,
h2,Browse by Faculty,
